"filename", "language", "JSON with Comments", "TypeScript", "vue", "CSS", "Markdown", "JSON", "HTML", "JavaScript", "Visual Basic", "Objective-C", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\SidebarLeft.vue", "vue", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 1, 5, 160
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TimelineEditor.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TitleBlock.vue", "vue", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 1, 8, 228
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\WritingPaper.vue", "vue", 0, 0, 363, 0, 0, 0, 0, 0, 0, 0, 4, 25, 392
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\FloatBox.vue", "vue", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 2, 6, 93
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\HistoryBtn.vue", "vue", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\MultipleBar.vue", "vue", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 9, 142
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\SpecialeditorTop.vue", "vue", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 6, 155
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\Toolbar.vue", "vue", 0, 0, 410, 0, 0, 0, 0, 0, 0, 0, 2, 21, 433
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\db\db.md", "Markdown", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 23, 118
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\db\db.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\env.d.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 110
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 16
