"filename", "language", "JSON", "TypeScript", "JSON with Comments", "vue", "Markdown", "XML", "SCSS", "CSS", "JavaScript", "HTML", "Visual Basic", "Objective-C", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontColorIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontFamilyIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontSizeIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontWeightIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\keyword.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\keyword2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\lineHeighIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\map.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\map2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\maximizeIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\maximizeIcon2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\minimizeIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\otherSettingIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paperColorIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paperSizeIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paraFocusIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paragraphIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\plot.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\plot2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\segSpacingIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\softThemeIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\templateicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\textIndentIcon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\trashcan.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\writtenwords.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\index.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 57
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\syntax.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 47
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\BigworldContent.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\BookDetail.vue", "vue", 0, 0, 0, 1030, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 1059
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\DiagramEditor.vue", "vue", 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 231
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\HomeContent.vue", "vue", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 359
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\KeywordEditor.vue", "vue", 0, 0, 0, 1717, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 1748
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\LabelTop.vue", "vue", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 54
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\MapEditor.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\PlotEditor.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\ReadingContent.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\RecycleContent.vue", "vue", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 245
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\SidebarLeft.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 160
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TimelineEditor.vue", "vue", 0, 0, 0, 753, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 770
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TitleBlock.vue", "vue", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 167
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\WritingPaper.vue", "vue", 0, 0, 0, 367, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 394
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\FloatBox.vue", "vue", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 41
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\HistoryBtn.vue", "vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\MultipleBar.vue", "vue", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 120
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\PopupMenu.vue", "vue", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\SpecialeditorTop.vue", "vue", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\Toolbar.vue", "vue", 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 293
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\db\db.md", "Markdown", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 23, 118
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\db\db.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 42
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\env.d.ts", "TypeScript", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 148
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\main.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\router\index.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\KeywordEditor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 509, 0, 0, 0, 0, 0, 1, 81, 591
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bigworldcontent.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bookdetail.scss", "SCSS", 0, 0, 0, 0, 0, 0, 464, 0, 0, 0, 0, 0, 17, 80, 561
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\diagramEditor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\fine-tune-timeLine.scss", "SCSS", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 14, 70
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\floatBox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 5, 55
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 9, 48
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\homecontent.scss", "SCSS", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 1, 29, 230
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\labeltop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 7, 50
