"filename", "language", "vue", "SCSS", "TypeScript", "XML", "JSON", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\templateicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\textIndentIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\trashcan.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\writtenwords.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\index.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 5, 1, 57
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\syntax.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 4, 4, 47
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\pEditor\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, -11171, 0, -29, -16, -11216
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\pEditor\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -121, -3, -4, -128
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\BookDetail.vue", "vue", -628, 0, 0, 0, 0, 0, 0, 0, 0, 2, -626
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\HomeContent.vue", "vue", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\KeywordEditor.vue", "vue", -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\LabelTop.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\RecycleContent.vue", "vue", -55, 0, 0, 0, 0, 0, 0, 0, 0, -1, -56
